role,seed,generation,copies_per_genome
named,6008,203000,769.11
named,6008,204000,430.20666666666665
named,6008,205000,603.7466666666667
named,6008,206000,543.8833333333333
named,6008,207000,535.77
named,6008,208000,573.8466666666667
named,6008,209000,621.0966666666667
named,6008,210000,538.3666666666667
named,6008,211000,599.1966666666667
named,6008,212000,608.5666666666667
named,6008,213000,500.0133333333333
named,6008,214000,539.5266666666666
named,6008,215000,509.24666666666667
named,6008,216000,503.43
named,6008,217000,632.0033333333333
named,6008,218000,448.6766666666667
named,6008,219000,699.3166666666667
named,6008,220000,581.0266666666666
named,6008,221000,524.8366666666667
named,6008,222000,475.59
named,6008,223000,562.7566666666667
named,6008,224000,609.9366666666666
named,6008,225000,672.1533333333333
named,6008,226000,671.4366666666666
named,6008,227000,523.2333333333333
named,6008,228000,690.8966666666666
named,6008,229000,588.67
named,6008,230000,538.75
named,6008,231000,732.89
named,6008,232000,599.7566666666667
named,6008,233000,655.71
named,6008,234000,506.56333333333333
named,6008,235000,639.4466666666667
named,6008,236000,508.85333333333335
named,6008,237000,549.73
named,6008,238000,602.8766666666667
named,6008,239000,855.8633333333333
fresh,7001,1000,208.13333333333333
fresh,7001,2000,221.80333333333334
fresh,7001,3000,234.67666666666668
fresh,7001,4000,258.96666666666664
fresh,7001,5000,258.5233333333333
fresh,7001,6000,320.24333333333334
fresh,7001,7000,322.6766666666667
fresh,7001,8000,327.81333333333333
fresh,7001,9000,365.12
fresh,7001,10000,368.42333333333335
fresh,7001,11000,407.3666666666667
fresh,7001,12000,411.5733333333333
fresh,7001,13000,433.23333333333335
fresh,7001,14000,439.89
fresh,7001,15000,456.48333333333335
fresh,7001,16000,419.43
fresh,7001,17000,471.5566666666667
fresh,7001,18000,523.6566666666666
fresh,7001,19000,481.39
fresh,7001,20000,600.3166666666667
fresh,7001,21000,427.0933333333333
fresh,7001,22000,422.92
fresh,7002,1000,210.43666666666667
fresh,7002,2000,232.89666666666668
fresh,7002,3000,226.25
fresh,7002,4000,249.22
fresh,7002,5000,288.50666666666666
fresh,7002,6000,280.19
fresh,7002,7000,319.4066666666667
fresh,7002,8000,337.62333333333333
fresh,7002,9000,351.66333333333336
fresh,7002,10000,391.16333333333336
fresh,7002,11000,346.37
fresh,7002,12000,397.01
fresh,7002,13000,445.4633333333333
fresh,7002,14000,416.8666666666667
fresh,7002,15000,466.01666666666665
fresh,7002,16000,543.3933333333333
fresh,7002,17000,426.13
fresh,7002,18000,502.53333333333336
fresh,7002,19000,524.8066666666666
fresh,7002,20000,410.2366666666667
fresh,7002,21000,465.24666666666667
fresh,7002,22000,476.47
fresh,7002,23000,493.34
fresh,7003,1000,214.17333333333335
fresh,7003,2000,235.62666666666667
fresh,7003,3000,238.53333333333333
fresh,7003,4000,239.92
fresh,7003,5000,264.9866666666667
fresh,7003,6000,307.31666666666666
fresh,7003,7000,321.06
fresh,7003,8000,335.06333333333333
fresh,7003,9000,350.7366666666667
fresh,7003,10000,360.34
fresh,7003,11000,396.2
fresh,7003,12000,419.8466666666667
fresh,7003,13000,450.64
fresh,7003,14000,483.43333333333334
fresh,7003,15000,385.2266666666667
fresh,7003,16000,430.6766666666667
fresh,7003,17000,418.29
fresh,7003,18000,520.67
fresh,7003,19000,432.62
fresh,7003,20000,397.58666666666664
fresh,7004,1000,219.70666666666668
fresh,7004,2000,236.75666666666666
fresh,7004,3000,235.15666666666667
fresh,7004,4000,245.47
fresh,7004,5000,267.8566666666667
fresh,7004,6000,288.6766666666667
fresh,7004,7000,330.91333333333336
fresh,7004,8000,312.66333333333336
fresh,7004,9000,370.4166666666667
fresh,7004,10000,387.42333333333335
fresh,7004,11000,412.36333333333334
fresh,7004,12000,415.30333333333334
fresh,7004,13000,413.4066666666667
fresh,7004,14000,476.96666666666664
fresh,7004,15000,401.75333333333333
fresh,7004,16000,532.36
fresh,7004,17000,584.5833333333334
fresh,7004,18000,525.8733333333333
fresh,7004,19000,507.35333333333335
fresh,7004,20000,499.36
fresh,7004,21000,863.05
fresh,7005,1000,221.73666666666668
fresh,7005,2000,223.18
fresh,7005,3000,234.72666666666666
fresh,7005,4000,246.52666666666667
fresh,7005,5000,284.8066666666667
fresh,7005,6000,276.62
fresh,7005,7000,293.01666666666665
fresh,7005,8000,332.83666666666664
fresh,7005,9000,371.64
fresh,7005,10000,379.8433333333333
fresh,7005,11000,371.00333333333333
fresh,7005,12000,419.83666666666664
fresh,7005,13000,422.7733333333333
fresh,7005,14000,418.31
fresh,7005,15000,564.7933333333333
fresh,7005,16000,659.9833333333333
fresh,7005,17000,350.04333333333335
fresh,7005,18000,461.8466666666667
fresh,7005,19000,385.3466666666667
fresh,7005,20000,432.93666666666667
fresh,7005,21000,477.06333333333333
